recording_id,source_zip,path,label,subtype,person,recording_number,usable,trim_method,search_start_s,trim_start_s,trim_end_s,trimmed_duration_s,peak_time_s,peak_acc_mag,original_start_s,original_end_s,original_duration_s,original_acc_rows,trimmed_acc_rows,notes
Fall_Backward_Polina12,Fall_Backward_Polina12.zip,C:\Users\lukas\GitHub\ML_Fall_Detection\data\raw\fall_backward\polina\Fall_Backward_Polina12.zip,fall,backward,polina,12,yes,peak_centered_fall,5.0,4.8356,12.8356,8.0,7.8356,21.125736,0.0671,17.1872,17.1201,855,399,Automatically preprocessed from Sensor Logger export.
Fall_Backward_Polina2,Fall_Backward_Polina2.zip,C:\Users\lukas\GitHub\ML_Fall_Detection\data\raw\fall_backward\polina\Fall_Backward_Polina2.zip,fall,backward,polina,2,yes,peak_centered_fall,5.0,5.1807,13.1807,8.0,8.1807,22.659218,0.0681,16.1481,16.0801,803,398,Automatically preprocessed from Sensor Logger export.
Fall_Backward_Polina3,Fall_Backward_Polina3.zip,C:\Users\lukas\GitHub\ML_Fall_Detection\data\raw\fall_backward\polina\Fall_Backward_Polina3.zip,fall,backward,polina,3,yes,peak_centered_fall,5.0,3.9776,11.9776,8.0,6.9776,22.428618,0.069,15.2279,15.1589,758,399,Automatically preprocessed from Sensor Logger export.
Fall_Backward_Polina4,Fall_Backward_Polina4.zip,C:\Users\lukas\GitHub\ML_Fall_Detection\data\raw\fall_backward\polina\Fall_Backward_Polina4.zip,fall,backward,polina,4,yes,peak_centered_fall,5.0,4.7784,12.7784,8.0,7.7784,18.711334,0.0688,15.7258,15.657,782,398,Automatically preprocessed from Sensor Logger export.
Fall_Backward_Polina5,Fall_Backward_Polina5.zip,C:\Users\lukas\GitHub\ML_Fall_Detection\data\raw\fall_backward\polina\Fall_Backward_Polina5.zip,fall,backward,polina,5,yes,peak_centered_fall,5.0,4.235,12.235,8.0,7.235,19.958964,0.0661,16.4677,16.4016,820,399,Automatically preprocessed from Sensor Logger export.
Fall_Backward_Polina6,Fall_Backward_Polina6.zip,C:\Users\lukas\GitHub\ML_Fall_Detection\data\raw\fall_backward\polina\Fall_Backward_Polina6.zip,fall,backward,polina,6,yes,peak_centered_fall,5.0,7.7384,15.7384,8.0,10.7384,23.793736,0.0827,19.289,19.2063,960,399,Automatically preprocessed from Sensor Logger export.
Fall_Backward_Polina7,Fall_Backward_Polina7.zip,C:\Users\lukas\GitHub\ML_Fall_Detection\data\raw\fall_backward\polina\Fall_Backward_Polina7.zip,fall,backward,polina,7,yes,peak_centered_fall,5.0,4.1628,12.1628,8.0,7.1628,18.316418,0.0734,15.2558,15.1824,759,399,Automatically preprocessed from Sensor Logger export.
Fall_Backward_Polina8,Fall_Backward_Polina8.zip,C:\Users\lukas\GitHub\ML_Fall_Detection\data\raw\fall_backward\polina\Fall_Backward_Polina8.zip,fall,backward,polina,8,yes,peak_centered_fall,5.0,5.6572,13.6572,8.0,8.6572,23.062012,0.0687,16.4872,16.4184,820,399,Automatically preprocessed from Sensor Logger export.
Fall_Backward_Polina9,Fall_Backward_Polina9.zip,C:\Users\lukas\GitHub\ML_Fall_Detection\data\raw\fall_backward\polina\Fall_Backward_Polina9.zip,fall,backward,polina,9,yes,peak_centered_fall,5.0,5.3017,13.3017,8.0,8.3017,14.690077,0.0713,17.6485,17.5772,876,398,Automatically preprocessed from Sensor Logger export.
Fall_Forward_Lukas1,Fall_Forward_Lukas1.zip,C:\Users\lukas\GitHub\ML_Fall_Detection\data\raw\fall_forward\lukas\Fall_Forward_Lukas1.zip,fall,forward,lukas,1,yes,peak_centered_fall,5.0,4.345,12.345,8.0,7.345,79.22376,0.0518,19.6335,19.5817,981,401,Automatically preprocessed from Sensor Logger export.
Fall_Forward_Lukas10,Fall_Forward_Lukas10.zip,C:\Users\lukas\GitHub\ML_Fall_Detection\data\raw\fall_forward\lukas\Fall_Forward_Lukas10.zip,fall,forward,lukas,10,yes,peak_centered_fall,5.0,4.0497,12.0497,8.0,7.0497,139.624915,0.0561,18.1197,18.0637,905,401,Automatically preprocessed from Sensor Logger export.
Fall_Forward_Lukas2,Fall_Forward_Lukas2.zip,C:\Users\lukas\GitHub\ML_Fall_Detection\data\raw\fall_forward\lukas\Fall_Forward_Lukas2.zip,fall,forward,lukas,2,yes,peak_centered_fall,5.0,4.5962,12.5962,8.0,7.5962,90.136634,0.063,17.3873,17.3243,868,401,Automatically preprocessed from Sensor Logger export.
Fall_Forward_Lukas3,Fall_Forward_Lukas3.zip,C:\Users\lukas\GitHub\ML_Fall_Detection\data\raw\fall_forward\lukas\Fall_Forward_Lukas3.zip,fall,forward,lukas,3,yes,peak_centered_fall,5.0,5.6303,13.6303,8.0,8.6303,112.196098,0.0581,18.5213,18.4632,925,401,Automatically preprocessed from Sensor Logger export.
Fall_Forward_Lukas4,Fall_Forward_Lukas4.zip,C:\Users\lukas\GitHub\ML_Fall_Detection\data\raw\fall_forward\lukas\Fall_Forward_Lukas4.zip,fall,forward,lukas,4,yes,peak_centered_fall,5.0,4.5688,12.5688,8.0,7.5688,67.656931,0.0557,16.7005,16.6448,834,401,Automatically preprocessed from Sensor Logger export.
Fall_Forward_Lukas5,Fall_Forward_Lukas5.zip,C:\Users\lukas\GitHub\ML_Fall_Detection\data\raw\fall_forward\lukas\Fall_Forward_Lukas5.zip,fall,forward,lukas,5,yes,peak_centered_fall,5.0,5.0359,13.0359,8.0,8.0359,120.148659,0.0617,16.7292,16.6675,835,401,Automatically preprocessed from Sensor Logger export.
Fall_Forward_Lukas6,Fall_Forward_Lukas6.zip,C:\Users\lukas\GitHub\ML_Fall_Detection\data\raw\fall_forward\lukas\Fall_Forward_Lukas6.zip,fall,forward,lukas,6,yes,peak_centered_fall,5.0,2.8293,10.8293,8.0,5.8293,156.14578,0.0543,17.3793,17.325,868,401,Automatically preprocessed from Sensor Logger export.
Fall_Forward_Lukas7,Fall_Forward_Lukas7.zip,C:\Users\lukas\GitHub\ML_Fall_Detection\data\raw\fall_forward\lukas\Fall_Forward_Lukas7.zip,fall,forward,lukas,7,yes,peak_centered_fall,5.0,6.8279,14.8279,8.0,9.8279,130.979344,0.0765,21.4776,21.4011,1072,401,Automatically preprocessed from Sensor Logger export.
Fall_Forward_Lukas8,Fall_Forward_Lukas8.zip,C:\Users\lukas\GitHub\ML_Fall_Detection\data\raw\fall_forward\lukas\Fall_Forward_Lukas8.zip,fall,forward,lukas,8,yes,peak_centered_fall,5.0,3.7405,11.7405,8.0,6.7405,98.117654,0.0664,16.2321,16.1657,810,401,Automatically preprocessed from Sensor Logger export.
Fall_Forward_Lukas9,Fall_Forward_Lukas9.zip,C:\Users\lukas\GitHub\ML_Fall_Detection\data\raw\fall_forward\lukas\Fall_Forward_Lukas9.zip,fall,forward,lukas,9,yes,peak_centered_fall,5.0,2.2721,10.2721,8.0,5.2721,121.016357,0.0567,15.9026,15.846,794,401,Automatically preprocessed from Sensor Logger export.
Fall_Forward_Polina1,Fall_Forward_Polina1.zip,C:\Users\lukas\GitHub\ML_Fall_Detection\data\raw\fall_forward\polina\Fall_Forward_Polina1.zip,fall,forward,polina,1,yes,peak_centered_fall,5.0,3.9695,11.9695,8.0,6.9695,71.409096,0.1005,18.7048,18.6043,930,399,Automatically preprocessed from Sensor Logger export.
Fall_Forward_Polina10,Fall_Forward_Polina10.zip,C:\Users\lukas\GitHub\ML_Fall_Detection\data\raw\fall_forward\polina\Fall_Forward_Polina10.zip,fall,forward,polina,10,yes,peak_centered_fall,5.0,3.7368,11.7368,8.0,6.7368,27.499137,0.0673,16.554,16.4867,824,399,Automatically preprocessed from Sensor Logger export.
Fall_Forward_Polina11,Fall_Forward_Polina11.zip,C:\Users\lukas\GitHub\ML_Fall_Detection\data\raw\fall_forward\polina\Fall_Forward_Polina11.zip,fall,forward,polina,11,yes,peak_centered_fall,5.0,5.049,13.049,8.0,8.049,26.297613,0.0611,18.7603,18.6992,933,398,Automatically preprocessed from Sensor Logger export.
Fall_Forward_Polina12,Fall_Forward_Polina12.zip,C:\Users\lukas\GitHub\ML_Fall_Detection\data\raw\fall_forward\polina\Fall_Forward_Polina12.zip,fall,forward,polina,12,yes,peak_centered_fall,5.0,4.6235,12.6235,8.0,7.6235,39.977044,0.0726,16.1555,16.0829,803,398,Automatically preprocessed from Sensor Logger export.
Fall_Forward_Polina2,Fall_Forward_Polina2.zip,C:\Users\lukas\GitHub\ML_Fall_Detection\data\raw\fall_forward\polina\Fall_Forward_Polina2.zip,fall,forward,polina,2,yes,peak_centered_fall,5.0,9.3131,14.3958,5.0826,12.3131,12.612621,0.0614,14.3958,14.3344,715,254,Automatically preprocessed from Sensor Logger export.
Fall_Forward_Polina3,Fall_Forward_Polina3.zip,C:\Users\lukas\GitHub\ML_Fall_Detection\data\raw\fall_forward\polina\Fall_Forward_Polina3.zip,fall,forward,polina,3,yes,peak_centered_fall,5.0,3.5338,11.5338,8.0,6.5338,33.385332,0.0657,16.2048,16.1391,806,398,Automatically preprocessed from Sensor Logger export.
Fall_Forward_Polina4,Fall_Forward_Polina4.zip,C:\Users\lukas\GitHub\ML_Fall_Detection\data\raw\fall_forward\polina\Fall_Forward_Polina4.zip,fall,forward,polina,4,yes,peak_centered_fall,5.0,6.5843,14.5843,8.0,9.5843,21.443751,0.0711,19.5944,19.5233,975,398,Automatically preprocessed from Sensor Logger export.
Fall_Forward_Polina5,Fall_Forward_Polina5.zip,C:\Users\lukas\GitHub\ML_Fall_Detection\data\raw\fall_forward\polina\Fall_Forward_Polina5.zip,fall,forward,polina,5,yes,peak_centered_fall,5.0,5.0608,13.0608,8.0,8.0608,20.389639,0.069,19.1164,19.0473,951,398,Automatically preprocessed from Sensor Logger export.
Fall_Forward_Polina6,Fall_Forward_Polina6.zip,C:\Users\lukas\GitHub\ML_Fall_Detection\data\raw\fall_forward\polina\Fall_Forward_Polina6.zip,fall,forward,polina,6,yes,peak_centered_fall,5.0,5.4705,13.4705,8.0,8.4705,22.395875,0.0622,20.2468,20.1846,1008,399,Automatically preprocessed from Sensor Logger export.
Fall_Forward_Polina7,Fall_Forward_Polina7.zip,C:\Users\lukas\GitHub\ML_Fall_Detection\data\raw\fall_forward\polina\Fall_Forward_Polina7.zip,fall,forward,polina,7,yes,peak_centered_fall,5.0,6.3928,14.3928,8.0,9.3928,18.30888,0.0648,19.3477,19.2829,962,399,Automatically preprocessed from Sensor Logger export.
Fall_Forward_Polina8,Fall_Forward_Polina8.zip,C:\Users\lukas\GitHub\ML_Fall_Detection\data\raw\fall_forward\polina\Fall_Forward_Polina8.zip,fall,forward,polina,8,yes,peak_centered_fall,5.0,5.6377,13.6377,8.0,8.6377,20.357117,0.0633,20.1095,20.0462,1000,399,Automatically preprocessed from Sensor Logger export.
Fall_Forward_Polina9,Fall_Forward_Polina9.zip,C:\Users\lukas\GitHub\ML_Fall_Detection\data\raw\fall_forward\polina\Fall_Forward_Polina9.zip,fall,forward,polina,9,yes,peak_centered_fall,5.0,5.5023,13.5023,8.0,8.5023,19.306128,0.0668,20.7388,20.672,1032,399,Automatically preprocessed from Sensor Logger export.
Fall_Left_Lukas1,Fall_Left_Lukas1.zip,C:\Users\lukas\GitHub\ML_Fall_Detection\data\raw\fall_left\lukas\Fall_Left_Lukas1.zip,fall,left,lukas,1,yes,peak_centered_fall,5.0,6.554,14.554,8.0,9.554,58.69132,0.0614,18.6467,18.5853,931,401,Automatically preprocessed from Sensor Logger export.
Fall_Left_Lukas10,Fall_Left_Lukas10.zip,C:\Users\lukas\GitHub\ML_Fall_Detection\data\raw\fall_left\lukas\Fall_Left_Lukas10.zip,fall,left,lukas,10,yes,peak_centered_fall,5.0,5.3512,13.3512,8.0,8.3512,48.267861,0.0585,22.7184,22.6599,1135,401,Automatically preprocessed from Sensor Logger export.
Fall_Left_Lukas2,Fall_Left_Lukas2.zip,C:\Users\lukas\GitHub\ML_Fall_Detection\data\raw\fall_left\lukas\Fall_Left_Lukas2.zip,fall,left,lukas,2,yes,peak_centered_fall,5.0,5.8804,13.8804,8.0,8.8804,63.773733,0.068,21.5897,21.5217,1078,401,Automatically preprocessed from Sensor Logger export.
Fall_Left_Lukas3,Fall_Left_Lukas3.zip,C:\Users\lukas\GitHub\ML_Fall_Detection\data\raw\fall_left\lukas\Fall_Left_Lukas3.zip,fall,left,lukas,3,yes,peak_centered_fall,5.0,2.9732,10.9732,8.0,5.9732,39.334434,0.0583,17.8629,17.8046,892,401,Automatically preprocessed from Sensor Logger export.
Fall_Left_Lukas4,Fall_Left_Lukas4.zip,C:\Users\lukas\GitHub\ML_Fall_Detection\data\raw\fall_left\lukas\Fall_Left_Lukas4.zip,fall,left,lukas,4,yes,peak_centered_fall,5.0,3.93,11.93,8.0,6.93,50.448116,0.0759,17.4808,17.4049,872,401,Automatically preprocessed from Sensor Logger export.
Fall_Left_Lukas5,Fall_Left_Lukas5.zip,C:\Users\lukas\GitHub\ML_Fall_Detection\data\raw\fall_left\lukas\Fall_Left_Lukas5.zip,fall,left,lukas,5,yes,peak_centered_fall,5.0,2.9357,10.9357,8.0,5.9357,90.38664,0.0609,16.6861,16.6252,833,401,Automatically preprocessed from Sensor Logger export.
Fall_Left_Lukas6,Fall_Left_Lukas6.zip,C:\Users\lukas\GitHub\ML_Fall_Detection\data\raw\fall_left\lukas\Fall_Left_Lukas6.zip,fall,left,lukas,6,yes,peak_centered_fall,5.0,4.0565,12.0565,8.0,7.0565,18.970284,0.0627,19.7852,19.7225,988,401,Automatically preprocessed from Sensor Logger export.
Fall_Left_Lukas7,Fall_Left_Lukas7.zip,C:\Users\lukas\GitHub\ML_Fall_Detection\data\raw\fall_left\lukas\Fall_Left_Lukas7.zip,fall,left,lukas,7,yes,peak_centered_fall,5.0,8.7132,16.7132,8.0,11.7132,25.154892,0.0636,22.104,22.0404,1104,401,Automatically preprocessed from Sensor Logger export.
Fall_Left_Lukas8,Fall_Left_Lukas8.zip,C:\Users\lukas\GitHub\ML_Fall_Detection\data\raw\fall_left\lukas\Fall_Left_Lukas8.zip,fall,left,lukas,8,yes,peak_centered_fall,5.0,5.2394,13.2394,8.0,8.2394,50.069676,0.0664,18.8302,18.7638,940,401,Automatically preprocessed from Sensor Logger export.
Fall_Left_Lukas9,Fall_Left_Lukas9.zip,C:\Users\lukas\GitHub\ML_Fall_Detection\data\raw\fall_left\lukas\Fall_Left_Lukas9.zip,fall,left,lukas,9,yes,peak_centered_fall,5.0,4.9763,12.9763,8.0,7.9763,75.392277,0.0632,19.3063,19.243,964,401,Automatically preprocessed from Sensor Logger export.
Fall_Left_Polina1,Fall_Left_Polina1.zip,C:\Users\lukas\GitHub\ML_Fall_Detection\data\raw\fall_left\polina\Fall_Left_Polina1.zip,fall,left,polina,1,yes,peak_centered_fall,5.0,5.8598,13.8598,8.0,8.8598,50.455652,0.0676,20.3174,20.2499,1012,399,Automatically preprocessed from Sensor Logger export.
Fall_Left_Polina10,Fall_Left_Polina10.zip,C:\Users\lukas\GitHub\ML_Fall_Detection\data\raw\fall_left\polina\Fall_Left_Polina10.zip,fall,left,polina,10,yes,peak_centered_fall,5.0,4.3885,12.3885,8.0,7.3885,24.29148,0.0775,17.6609,17.5833,879,399,Automatically preprocessed from Sensor Logger export.
Fall_Left_Polina2,Fall_Left_Polina2.zip,C:\Users\lukas\GitHub\ML_Fall_Detection\data\raw\fall_left\polina\Fall_Left_Polina2.zip,fall,left,polina,2,yes,peak_centered_fall,5.0,6.4363,14.4363,8.0,9.4363,39.368124,0.0662,18.5072,18.441,921,398,Automatically preprocessed from Sensor Logger export.
Fall_Left_Polina3,Fall_Left_Polina3.zip,C:\Users\lukas\GitHub\ML_Fall_Detection\data\raw\fall_left\polina\Fall_Left_Polina3.zip,fall,left,polina,3,yes,peak_centered_fall,5.0,7.0155,15.0155,8.0,10.0155,24.212326,0.0673,20.2266,20.1593,1005,397,Automatically preprocessed from Sensor Logger export.
Fall_Left_Polina4,Fall_Left_Polina4.zip,C:\Users\lukas\GitHub\ML_Fall_Detection\data\raw\fall_left\polina\Fall_Left_Polina4.zip,fall,left,polina,4,yes,peak_centered_fall,5.0,4.6919,12.6919,8.0,7.6919,29.514121,0.0618,16.6425,16.5807,829,399,Automatically preprocessed from Sensor Logger export.
Fall_Left_Polina5,Fall_Left_Polina5.zip,C:\Users\lukas\GitHub\ML_Fall_Detection\data\raw\fall_left\polina\Fall_Left_Polina5.zip,fall,left,polina,5,yes,peak_centered_fall,5.0,14.0092,17.61,3.6008,17.0092,34.236282,0.0655,17.61,17.5444,877,180,Automatically preprocessed from Sensor Logger export.
Fall_Left_Polina6,Fall_Left_Polina6.zip,C:\Users\lukas\GitHub\ML_Fall_Detection\data\raw\fall_left\polina\Fall_Left_Polina6.zip,fall,left,polina,6,yes,peak_centered_fall,5.0,2.9743,10.9743,8.0,5.9743,27.631402,0.0665,19.8521,19.7855,989,399,Automatically preprocessed from Sensor Logger export.
Fall_Left_Polina7,Fall_Left_Polina7.zip,C:\Users\lukas\GitHub\ML_Fall_Detection\data\raw\fall_left\polina\Fall_Left_Polina7.zip,fall,left,polina,7,yes,peak_centered_fall,5.0,3.6904,11.6904,8.0,6.6904,32.807906,0.0639,15.66,15.5961,778,397,Automatically preprocessed from Sensor Logger export.
Fall_Left_Polina8,Fall_Left_Polina8.zip,C:\Users\lukas\GitHub\ML_Fall_Detection\data\raw\fall_left\polina\Fall_Left_Polina8.zip,fall,left,polina,8,yes,peak_centered_fall,5.0,5.0822,13.0822,8.0,8.0822,36.188434,0.0677,16.7912,16.7235,835,399,Automatically preprocessed from Sensor Logger export.
Fall_Left_Polina9,Fall_Left_Polina9.zip,C:\Users\lukas\GitHub\ML_Fall_Detection\data\raw\fall_left\polina\Fall_Left_Polina9.zip,fall,left,polina,9,yes,peak_centered_fall,5.0,3.7734,11.7734,8.0,6.7734,49.78956,0.0633,15.3236,15.2603,762,398,Automatically preprocessed from Sensor Logger export.
Fall_Right_Lukas1,Fall_Right_Lukas1.zip,C:\Users\lukas\GitHub\ML_Fall_Detection\data\raw\fall_right\lukas\Fall_Right_Lukas1.zip,fall,right,lukas,1,yes,peak_centered_fall,5.0,6.6256,14.6256,8.0,9.6256,89.692377,0.0732,24.5936,24.5203,1228,401,Automatically preprocessed from Sensor Logger export.
Fall_Right_Lukas10,Fall_Right_Lukas10.zip,C:\Users\lukas\GitHub\ML_Fall_Detection\data\raw\fall_right\lukas\Fall_Right_Lukas10.zip,fall,right,lukas,10,yes,peak_centered_fall,5.0,5.8183,13.8183,8.0,8.8183,74.753151,0.0656,20.5683,20.5027,1027,401,Automatically preprocessed from Sensor Logger export.
Fall_Right_Lukas2,Fall_Right_Lukas2.zip,C:\Users\lukas\GitHub\ML_Fall_Detection\data\raw\fall_right\lukas\Fall_Right_Lukas2.zip,fall,right,lukas,2,yes,peak_centered_fall,5.0,5.3502,13.3502,8.0,8.3502,38.89786,0.0769,20.6402,20.5634,1030,401,Automatically preprocessed from Sensor Logger export.
Fall_Right_Lukas3,Fall_Right_Lukas3.zip,C:\Users\lukas\GitHub\ML_Fall_Detection\data\raw\fall_right\lukas\Fall_Right_Lukas3.zip,fall,right,lukas,3,yes,peak_centered_fall,5.0,4.6379,12.6379,8.0,7.6379,35.317807,0.0641,19.5081,19.4439,974,401,Automatically preprocessed from Sensor Logger export.
Fall_Right_Lukas4,Fall_Right_Lukas4.zip,C:\Users\lukas\GitHub\ML_Fall_Detection\data\raw\fall_right\lukas\Fall_Right_Lukas4.zip,fall,right,lukas,4,yes,peak_centered_fall,5.0,5.6837,13.6837,8.0,8.6837,48.37867,0.0509,23.2714,23.2205,1163,401,Automatically preprocessed from Sensor Logger export.
Fall_Right_Lukas5,Fall_Right_Lukas5.zip,C:\Users\lukas\GitHub\ML_Fall_Detection\data\raw\fall_right\lukas\Fall_Right_Lukas5.zip,fall,right,lukas,5,yes,peak_centered_fall,5.0,7.4359,15.4359,8.0,10.4359,83.590186,0.0647,23.105,23.0403,1154,401,Automatically preprocessed from Sensor Logger export.
Fall_Right_Lukas6,Fall_Right_Lukas6.zip,C:\Users\lukas\GitHub\ML_Fall_Detection\data\raw\fall_right\lukas\Fall_Right_Lukas6.zip,fall,right,lukas,6,yes,peak_centered_fall,5.0,4.3076,12.3076,8.0,7.3076,46.921179,0.0737,18.0584,17.9847,901,401,Automatically preprocessed from Sensor Logger export.
Fall_Right_Lukas7,Fall_Right_Lukas7.zip,C:\Users\lukas\GitHub\ML_Fall_Detection\data\raw\fall_right\lukas\Fall_Right_Lukas7.zip,fall,right,lukas,7,yes,peak_centered_fall,5.0,6.5427,14.5427,8.0,9.5427,72.935595,0.0507,20.6732,20.6225,1033,401,Automatically preprocessed from Sensor Logger export.
Fall_Right_Lukas8,Fall_Right_Lukas8.zip,C:\Users\lukas\GitHub\ML_Fall_Detection\data\raw\fall_right\lukas\Fall_Right_Lukas8.zip,fall,right,lukas,8,yes,peak_centered_fall,5.0,5.8765,13.8765,8.0,8.8765,92.252638,0.0641,22.2651,22.201,1112,401,Automatically preprocessed from Sensor Logger export.
Fall_Right_Lukas9,Fall_Right_Lukas9.zip,C:\Users\lukas\GitHub\ML_Fall_Detection\data\raw\fall_right\lukas\Fall_Right_Lukas9.zip,fall,right,lukas,9,yes,peak_centered_fall,5.0,5.017,13.017,8.0,8.017,120.223752,0.0637,22.1452,22.0816,1106,401,Automatically preprocessed from Sensor Logger export.
Fall_Right_Polina1,Fall_Right_Polina1.zip,C:\Users\lukas\GitHub\ML_Fall_Detection\data\raw\fall_right\polina\Fall_Right_Polina1.zip,fall,right,polina,1,yes,peak_centered_fall,5.0,2.6106,10.6106,8.0,5.6106,39.597387,0.1033,14.0592,13.9559,697,398,Automatically preprocessed from Sensor Logger export.
Fall_Right_Polina10,Fall_Right_Polina10.zip,C:\Users\lukas\GitHub\ML_Fall_Detection\data\raw\fall_right\polina\Fall_Right_Polina10.zip,fall,right,polina,10,yes,peak_centered_fall,5.0,14.6429,18.6442,4.0013,17.6429,28.883769,0.0636,18.6442,18.5807,928,200,Automatically preprocessed from Sensor Logger export.
Fall_Right_Polina2,Fall_Right_Polina2.zip,C:\Users\lukas\GitHub\ML_Fall_Detection\data\raw\fall_right\polina\Fall_Right_Polina2.zip,fall,right,polina,2,yes,peak_centered_fall,5.0,4.4919,12.4919,8.0,7.4919,33.400122,0.0621,18.1096,18.0475,902,399,Automatically preprocessed from Sensor Logger export.
Fall_Right_Polina3,Fall_Right_Polina3.zip,C:\Users\lukas\GitHub\ML_Fall_Detection\data\raw\fall_right\polina\Fall_Right_Polina3.zip,fall,right,polina,3,yes,peak_centered_fall,5.0,2.5503,10.5503,8.0,5.5503,21.354016,0.0818,16.6261,16.5443,827,399,Automatically preprocessed from Sensor Logger export.
